,Unnamed: 0,player,nationality,team,position,birth_year,games,games_starts,minutes,goals,assists,cards_yellow,cards_red,xg,xg_assist,progressive_carries_x,progressive_passes_x,progressive_passes_received_x,goals_per90,assists_per90,xg_per90,xg_assist_per90,gk_goals_against_per90,gk_save_pct,gk_clean_sheets_pct,gk_pens_save_pct,shots_on_target_pct,shots_on_target_per90,goals_per_shot,average_shot_distance,passes_completed,passes_pct,passes_total_distance,passes_pct_short,passes_pct_medium,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes_y,sca,sca_per90,gca,gca_per90,tackles,tackles_won,challenges,challenges_lost,blocks,blocked_shots,blocked_passes,interceptions,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,take_ons,take_ons_won,take_ons_tackled,carries,carries_progressive_distance,progressive_carries_y,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,progressive_passes_received_y,fouls,fouled,offsides,crosses,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct,price,skill,pot,predicted_price
52,52,Cole Palmer,14,5,7,23,34,33,2921.0,15,8,6,0,16.8,10.0,108,201,169,0.46,0.25,0.52,0.31,,,,,35.7,1.26,0.1,20.2,1043,76.9,19874,85.8,84.8,60.0,82,152,62,17,201,188,5.79,15,0.46,27,17,23,14,14,1,13,11,1692,20,140,757,817,133,104,48,41,1068,3461,108,67,39,63,34,1247,169,13,57,6,134,100,1,7,12.5,115400000.0,80.1,92.5,96344592.47757074
53,53,Conor Coady,14,10,0,32,19,16,1444.0,0,0,2,0,0.1,0.1,3,30,0,0.0,0.0,0.01,0.0,,,,,100.0,0.06,0.0,9.2,829,90.9,14352,97.0,96.6,52.7,1,32,2,0,30,5,0.31,0,0.0,12,8,6,3,27,20,7,13,1036,199,569,450,18,6,2,1,1,676,1556,3,3,1,4,2,762,0,7,2,1,0,50,13,19,40.6,2200000.0,61.3,61.3,2866624.2063492066
54,54,Craig Dawson,14,19,0,35,15,10,971.0,0,0,2,0,0.5,0.0,6,20,5,0.0,0.0,0.05,0.0,,,,,20.0,0.09,0.0,8.5,484,86.6,9745,92.5,93.0,60.0,2,22,1,0,20,7,0.65,2,0.19,15,3,15,3,16,11,5,9,671,130,396,249,28,14,5,1,2,390,938,6,1,0,2,0,443,5,6,5,2,0,35,21,11,65.6,1500000.0,64.4,64.4,2056475.396825397
55,55,Cristian Romero,0,17,0,27,18,18,1416.0,1,0,3,0,1.6,0.6,12,71,3,0.06,0.0,0.1,0.04,,,,,50.0,0.51,0.06,9.1,1094,89.5,20402,91.4,94.7,63.5,7,109,8,1,71,20,1.27,4,0.25,35,29,30,9,18,3,15,21,1377,157,594,720,74,23,4,1,2,896,2893,12,18,0,10,5,936,3,14,12,2,3,90,41,27,60.3,60100000.0,72.6,74.8,46959153.17460316
56,56,Curtis Jones,14,11,8,24,30,17,1528.0,3,3,3,1,4.1,1.0,24,95,71,0.18,0.18,0.24,0.06,,,,,38.7,0.71,0.1,16.9,907,93.3,13243,96.8,92.7,75.0,19,72,17,0,95,42,2.47,7,0.41,36,20,24,8,16,7,9,6,1140,31,186,611,349,52,19,11,7,696,1566,24,17,6,23,32,862,71,17,24,1,6,86,13,12,52.0,61700000.0,77.9,84.0,56275280.626921386
57,57,Daichi Kamada,26,6,7,29,30,13,1338.0,0,0,3,1,1.0,1.8,23,73,52,0.0,0.0,0.07,0.12,,,,,23.5,0.27,0.0,19.4,511,79.5,8122,87.9,82.0,55.1,19,39,13,2,73,46,3.09,3,0.2,43,25,37,25,19,4,15,16,804,18,172,420,217,28,13,4,7,403,949,23,17,4,13,18,518,52,25,17,2,27,67,3,12,20.0,14600000.0,71.5,71.5,16392945.923520925
58,58,Dan Burn,14,14,0,33,34,34,3060.0,1,0,10,0,1.7,0.9,9,59,10,0.03,0.0,0.05,0.03,,,,,25.0,0.15,0.05,9.9,1630,88.9,29674,90.3,94.7,61.3,8,39,7,0,59,21,0.62,3,0.09,34,19,32,15,32,23,9,25,2184,344,1220,861,109,49,4,3,1,1246,2498,9,5,1,23,3,1470,10,30,11,5,3,95,134,65,67.3,9100000.0,77.0,77.0,17292815.07936508
59,59,Dango Ouattara,3,2,3,23,32,21,2005.0,7,4,3,0,8.4,5.5,79,43,191,0.31,0.18,0.38,0.25,,,,,32.3,0.9,0.11,13.5,367,60.0,5725,72.9,62.2,37.3,35,21,26,11,43,72,3.23,6,0.27,35,26,41,24,36,10,26,11,959,62,165,316,497,128,82,39,34,492,1777,79,35,38,63,32,577,191,16,19,14,88,92,45,63,41.7,28500000.0,72.9,80.4,39223962.06693204
60,60,Daniel Muñoz,8,6,0,29,33,33,2868.0,4,4,9,0,4.6,4.4,49,83,183,0.13,0.13,0.14,0.14,,,,,37.5,0.38,0.13,12.3,1004,75.8,15308,85.7,77.1,44.3,39,53,31,13,83,74,2.32,9,0.28,109,70,86,37,35,3,32,39,1788,107,508,743,556,89,50,19,29,695,1461,49,32,15,50,18,846,183,47,19,13,60,149,56,73,43.4,30900000.0,77.5,77.5,40287313.700918965
61,61,Danny Welbeck,14,4,3,35,28,22,1942.0,9,4,5,0,8.1,1.2,19,42,83,0.42,0.19,0.38,0.06,,,,,37.7,0.93,0.17,15.2,368,84.2,4306,86.3,87.0,100.0,19,17,13,0,42,44,2.04,6,0.28,23,14,18,11,17,2,15,5,648,15,50,277,326,90,36,12,21,395,777,19,20,7,45,25,483,83,11,22,4,3,40,15,29,34.1,6000000.0,72.1,72.1,6566419.733044731
62,62,Dara O'Shea,23,9,0,26,32,32,2852.0,0,2,6,0,1.2,0.5,3,71,8,0.0,0.06,0.04,0.02,,,,,10.0,0.06,0.0,13.6,1112,77.7,22113,86.7,84.8,50.0,3,83,3,1,71,22,0.69,4,0.13,47,30,31,11,59,47,12,31,1841,361,1065,663,118,48,2,1,1,805,1751,3,2,0,11,4,1048,8,18,22,3,7,101,103,79,56.6,19500000.0,64.8,69.8,18536425.793650795
63,63,Darwin Núñez,42,11,3,26,27,8,1051.0,5,2,8,0,5.3,1.2,22,27,69,0.43,0.17,0.45,0.11,,,,,36.4,1.03,0.15,14.3,152,70.4,2274,79.6,73.4,66.7,9,9,2,0,27,27,2.31,4,0.34,19,16,16,10,6,0,6,3,341,10,44,114,193,66,21,8,12,184,529,22,17,12,21,19,229,69,27,14,11,2,39,18,29,38.3,60900000.0,80.5,84.1,58706206.17848969
64,64,David Raya,15,0,6,30,35,35,3150.0,0,0,2,0,0.0,0.0,0,13,0,0.0,0.0,0.0,0.0,0.89,74.1,34.3,0.0,30.4,0.0,,16.15,979,74.6,23137,98.9,98.3,38.2,0,41,2,0,13,4,0.11,1,0.03,0,0,2,2,0,0,0,2,1367,802,1284,83,0,0,1,1,0,856,2563,0,0,0,1,0,789,0,1,9,0,0,38,10,0,100.0,28900000.0,86.5,86.5,45704500.793650806
65,65,Dean Henderson,14,6,6,28,34,34,3060.0,0,0,3,0,0.0,0.1,0,0,0,0.0,0.0,0.0,0.0,1.38,66.9,29.4,50.0,0.0,0.0,0.0,14.9,672,61.8,18496,99.4,99.4,31.3,2,20,1,0,0,3,0.09,0,0.0,2,1,6,4,0,0,0,0,1173,954,1169,3,1,1,0,0,0,674,1919,0,0,0,2,0,510,0,0,0,0,0,25,11,1,91.7,22700000.0,78.0,78.0,29354857.677942976
66,66,Dean Huijsen,15,2,0,20,29,24,2234.0,3,1,8,0,1.9,2.0,36,116,10,0.12,0.04,0.08,0.08,,,,,16.7,0.12,0.17,11.9,1204,83.4,24235,89.0,91.6,59.3,14,146,7,2,116,40,1.61,3,0.12,33,23,25,10,36,28,8,49,1803,238,820,861,131,30,5,2,3,992,3937,36,26,0,18,1,1117,10,29,10,2,12,96,64,41,61.0,55000000.0,65.2,82.3,40551262.61914345
67,67,Declan Rice,14,0,7,26,33,31,2645.0,3,7,7,1,3.3,6.5,88,180,92,0.1,0.24,0.11,0.22,,,,,25.0,0.37,0.07,19.3,1304,83.5,22238,92.0,90.5,48.9,56,126,35,5,180,106,3.61,10,0.34,52,24,37,21,24,11,13,25,1839,71,302,863,693,77,28,13,14,977,3274,88,54,16,36,29,1204,92,20,16,2,157,143,31,24,56.4,107800000.0,83.7,86.6,79072861.11111109
68,68,Dejan Kulusevski,40,17,9,25,31,26,2371.0,7,4,3,0,4.2,6.2,119,124,210,0.27,0.15,0.16,0.23,,,,,37.0,0.65,0.15,14.8,657,73.7,9214,86.2,78.0,41.3,65,62,52,6,124,127,4.82,9,0.34,45,23,51,31,34,5,29,13,1273,24,150,431,716,157,117,38,71,821,3204,119,67,40,75,73,894,210,47,38,5,89,119,10,15,40.0,60500000.0,86.7,91.7,76694112.71566598
69,69,Destiny Udogie,24,17,0,23,24,23,1834.0,0,1,2,0,0.3,1.5,54,120,93,0.0,0.05,0.01,0.07,,,,,20.0,0.05,0.0,15.1,947,87.4,13710,91.3,90.4,80.0,16,88,6,1,120,35,1.72,3,0.15,74,47,47,14,40,6,34,21,1336,60,377,591,383,49,32,13,16,735,2290,54,39,12,32,19,796,93,29,38,2,19,109,13,13,50.0,59400000.0,78.5,90.3,58601698.82677709
70,70,Diogo Dalot,35,13,0,26,32,31,2788.0,0,3,5,0,2.0,2.0,62,102,164,0.0,0.1,0.06,0.07,,,,,21.7,0.16,0.0,15.6,1336,80.5,21497,89.9,81.9,55.4,26,61,25,8,102,74,2.39,5,0.16,67,39,52,18,22,9,13,37,1965,113,658,767,557,66,53,27,22,1111,2684,62,37,16,37,21,1186,164,40,9,4,65,164,38,21,64.4,37400000.0,73.1,77.0,36450298.26002387
71,71,Diogo Jota,35,11,3,29,24,14,1154.0,6,3,2,0,7.6,1.8,36,33,86,0.47,0.23,0.59,0.14,,,,,27.1,1.01,0.13,12.3,205,69.7,3120,76.2,75.0,61.9,11,29,3,1,33,35,2.73,9,0.7,14,8,19,12,9,0,9,7,458,5,30,189,246,93,31,11,19,251,753,36,21,20,37,22,317,86,22,14,1,8,40,22,30,42.3,58600000.0,83.2,83.6,55560925.30547383
72,72,Djed Spence,14,17,0,25,22,17,1604.0,1,2,4,1,0.6,1.8,56,100,70,0.06,0.11,0.03,0.1,,,,,30.0,0.17,0.1,23.9,920,85.4,13162,93.7,85.8,51.7,11,74,18,8,100,28,1.57,5,0.28,40,30,27,7,24,9,15,18,1314,72,448,598,288,25,70,34,29,742,2372,56,41,7,25,31,811,70,20,23,2,25,101,20,13,60.6,19800000.0,72.5,76.5,29345470.959560703
73,73,Dominic Calvert-Lewin,14,7,3,28,23,19,1588.0,3,1,2,0,6.2,0.6,22,19,107,0.17,0.06,0.35,0.04,,,,,36.2,0.96,0.06,12.3,177,62.8,2075,69.9,59.0,37.5,7,19,5,1,19,25,1.42,4,0.23,9,7,6,4,6,2,4,6,499,22,39,208,257,83,25,10,13,272,444,22,8,16,73,33,407,107,27,23,27,6,32,84,80,51.2,17800000.0,67.6,68.8,14181063.30891331
74,74,Dominic Solanke,14,17,3,28,25,24,2119.0,8,3,0,0,10.1,2.9,29,45,88,0.34,0.13,0.43,0.13,,,,,40.7,1.02,0.14,12.1,250,71.0,3344,76.1,77.1,66.7,14,27,9,0,45,37,1.57,8,0.34,18,11,14,10,18,7,11,0,636,31,68,290,284,111,50,16,31,374,803,29,21,14,67,47,448,88,36,36,5,4,37,44,59,42.7,52100000.0,79.5,80.2,54007941.099124625
75,75,Dominik Szoboszlai,22,11,7,25,33,26,2279.0,5,5,6,0,7.1,6.2,65,118,120,0.2,0.2,0.28,0.24,,,,,32.3,0.79,0.08,18.5,1028,84.6,15906,89.2,88.3,72.2,51,80,31,5,118,108,4.27,14,0.55,31,20,39,24,36,4,32,9,1449,24,188,703,576,96,35,19,13,738,2119,65,46,17,34,21,989,120,37,23,4,34,122,18,22,45.0,71400000.0,86.9,93.8,86161058.33333334
76,76,Dwight McNeil,14,7,9,26,18,14,1262.0,4,4,1,0,1.1,3.8,35,63,74,0.29,0.29,0.08,0.27,,,,,40.0,0.71,0.16,21.9,420,73.7,7795,86.7,81.8,52.3,33,38,33,10,63,63,4.49,7,0.5,11,6,19,11,7,0,7,5,688,4,67,298,339,24,40,21,18,406,1041,35,30,5,24,29,468,74,6,14,1,97,71,3,15,16.7,27000000.0,70.8,75.4,29857503.984803945
77,77,Eberechi Eze,14,6,9,27,30,28,2337.0,4,8,1,0,8.2,5.2,65,85,141,0.15,0.31,0.31,0.2,,,,,25.8,0.92,0.04,21.5,707,74.6,11848,85.3,83.4,43.2,53,46,32,3,85,119,4.58,9,0.35,37,22,35,18,26,0,26,11,1289,15,172,611,537,86,125,61,57,771,2178,65,43,21,52,44,840,141,11,46,9,100,128,6,36,14.3,62200000.0,74.9,75.8,46745237.93384889
78,78,Ederson,4,12,6,32,23,23,2050.0,0,4,3,0,0.0,1.5,0,1,0,0.0,0.18,0.0,0.07,1.1,68.5,34.8,0.0,30.4,0.0,,16.15,730,88.2,17943,100.0,98.4,66.3,4,20,1,0,1,6,0.26,4,0.18,0,0,2,2,0,0,0,1,875,619,866,9,0,0,0,0,0,590,1732,0,0,0,1,0,560,0,1,0,0,0,38,4,1,80.0,19100000.0,80.2,80.2,24045061.11111111
79,79,Edson Álvarez,28,18,7,28,25,19,1633.0,0,1,8,1,0.3,0.8,21,75,18,0.0,0.06,0.02,0.04,,,,,9.1,0.06,0.0,26.7,763,85.7,12894,88.8,89.7,73.5,11,80,11,3,75,25,1.38,2,0.11,44,23,33,18,21,8,13,16,1101,61,323,612,174,12,31,14,12,603,1528,21,20,2,25,13,734,18,37,18,4,6,78,28,20,58.3,36500000.0,70.8,71.7,19371214.57431458
80,80,Elliot Anderson,14,15,7,23,33,29,2377.0,2,6,7,0,1.7,3.1,44,118,82,0.08,0.23,0.06,0.12,,,,,20.0,0.27,0.06,19.8,895,77.8,14190,89.1,80.0,46.4,34,93,18,2,118,76,2.88,10,0.38,79,50,94,52,41,8,33,28,1529,88,362,718,477,59,69,35,26,774,1992,44,29,18,54,38,900,82,40,54,4,73,186,43,22,66.2,46500000.0,79.6,89.8,54231824.57374255
81,81,Emerson Palmieri,24,18,0,31,30,26,2105.0,2,1,5,0,2.0,1.5,46,66,83,0.09,0.04,0.08,0.06,,,,,43.8,0.3,0.13,19.0,856,79.9,12480,89.8,81.3,42.2,16,51,13,5,66,41,1.75,2,0.09,60,31,48,21,32,8,24,21,1319,82,419,556,359,28,30,10,17,551,1708,46,25,9,24,7,743,83,25,13,0,64,84,18,20,47.4,12600000.0,67.0,67.0,10669978.968253972
82,82,Emile Smith Rowe,14,8,7,25,31,23,1886.0,6,2,2,0,4.4,1.1,50,120,115,0.29,0.1,0.21,0.05,,,,,28.6,0.48,0.17,15.6,844,90.1,12107,92.1,95.4,70.4,18,76,15,1,120,65,3.1,11,0.52,31,18,24,16,20,2,18,11,1128,20,155,534,449,55,33,16,15,734,1838,50,38,11,35,13,867,115,18,12,4,13,69,6,17,26.1,40800000.0,75.7,80.3,49280128.43845656
83,83,Emiliano Martínez,0,1,6,33,34,34,2970.0,0,0,4,0,0.0,0.5,0,4,0,0.0,0.0,0.0,0.02,1.36,66.7,17.6,50.0,30.4,0.0,,16.15,1018,79.1,26608,97.8,98.2,50.1,2,24,0,0,4,6,0.18,1,0.03,3,3,2,0,1,0,1,0,1348,1015,1329,19,0,0,1,1,0,820,2626,0,0,0,1,0,738,0,1,5,0,0,29,8,1,88.9,17500000.0,74.2,74.2,15709269.805194804
84,84,Emmanuel Agbadou,5,19,0,28,13,13,1140.0,0,0,2,0,0.3,0.2,3,22,1,0.0,0.0,0.02,0.02,,,,,16.7,0.08,0.0,31.8,663,85.0,13505,91.7,92.7,61.0,4,26,1,0,22,15,1.18,2,0.16,27,18,17,6,16,12,4,9,924,155,527,381,22,5,10,7,2,572,1230,3,3,0,3,3,615,1,5,4,1,1,66,22,16,57.9,18000000.0,68.7,68.7,16945477.77777778
85,85,Enzo Fernández,0,5,7,24,33,29,2677.0,6,7,7,0,5.9,6.5,57,199,116,0.2,0.24,0.2,0.22,,,,,37.3,0.64,0.12,18.2,1428,80.0,25388,88.9,85.0,58.0,73,156,39,7,199,141,4.74,16,0.54,63,32,82,51,36,7,29,13,2069,36,326,1049,708,76,46,21,18,1130,2551,57,53,8,27,27,1519,116,47,48,1,105,147,14,28,33.3,73700000.0,75.1,82.7,63688711.24480095
86,86,Erling Haaland,32,12,3,25,28,28,2480.0,21,3,2,0,20.8,2.8,19,18,103,0.76,0.11,0.76,0.1,,,,,54.5,1.96,0.19,12.2,225,66.0,2706,70.6,66.7,66.7,26,9,7,1,18,62,2.25,9,0.33,9,5,6,4,11,1,10,5,578,22,39,200,344,170,32,11,19,272,478,19,14,19,39,25,427,103,22,12,4,3,29,49,45,52.1,198800000.0,92.8,100.0,128953054.76190473
87,87,Ethan Pinnock,25,3,0,32,22,21,1913.0,2,0,2,0,1.1,1.2,3,41,9,0.09,0.0,0.05,0.05,,,,,60.0,0.28,0.2,11.1,924,85.6,17045,94.2,89.4,57.9,8,48,4,1,41,21,0.99,0,0.0,35,19,24,11,29,18,11,24,1348,294,783,457,109,24,9,3,6,633,1633,3,4,0,2,4,760,9,8,4,0,9,50,63,43,59.4,7600000.0,70.5,70.5,9376986.507936504
88,88,Evanilson,4,2,3,26,28,25,2058.0,10,1,1,1,11.6,1.6,28,24,88,0.44,0.04,0.51,0.07,,,,,43.9,1.27,0.15,13.0,215,70.0,2631,75.3,73.0,66.7,23,14,3,0,24,56,2.45,8,0.35,16,10,12,4,10,2,8,0,505,23,50,195,263,116,19,6,7,300,820,28,17,14,31,22,358,88,33,45,17,0,59,39,58,40.2,26900000.0,73.4,77.4,33675352.63649319
89,89,Ezri Konsa,14,1,0,28,31,30,2666.0,1,0,0,0,0.9,0.4,17,77,11,0.03,0.0,0.03,0.01,,,,,33.3,0.1,0.11,9.1,1425,92.8,23907,96.4,95.7,65.5,5,95,1,0,77,23,0.78,3,0.1,32,17,22,4,18,10,8,21,1756,224,826,839,100,20,18,8,7,1021,2561,17,12,2,17,10,1223,11,6,42,0,5,89,31,22,58.5,42700000.0,75.9,76.1,40199975.652841784
90,90,Fabian Schär,39,14,0,34,31,30,2664.0,4,0,7,1,2.4,0.4,14,102,18,0.14,0.0,0.08,0.01,,,,,32.3,0.34,0.13,21.2,1518,83.8,30536,92.3,92.7,52.3,5,145,10,0,102,32,1.08,4,0.14,34,21,34,20,37,24,13,41,2111,239,1089,900,133,33,12,8,2,1331,3403,14,23,2,11,6,1474,18,32,12,4,10,125,46,61,43.0,11000000.0,70.9,70.9,8705996.428571427
91,91,Facundo Buonanotte,0,10,5,21,29,14,1474.0,4,2,7,0,3.8,3.1,38,52,69,0.24,0.12,0.23,0.19,,,,,29.4,0.61,0.12,17.8,430,76.6,6782,85.7,81.9,48.6,24,40,13,2,52,50,3.05,4,0.24,53,32,67,46,32,6,26,11,850,26,127,436,300,36,79,26,49,465,1321,38,26,8,53,39,515,69,35,33,3,41,77,17,35,32.7,30700000.0,66.8,84.2,37330913.70091896
92,92,Flynn Downes,14,16,7,26,24,22,1881.0,1,0,10,0,0.6,1.1,25,63,28,0.05,0.0,0.03,0.05,,,,,30.0,0.14,0.1,18.7,890,90.1,13048,92.7,92.1,68.8,15,54,12,0,63,30,1.44,2,0.1,44,24,32,18,24,6,18,30,1184,77,351,632,210,21,15,5,7,567,1610,25,21,4,13,17,840,28,46,35,0,3,75,14,13,51.9,9200000.0,64.6,68.0,11631576.587301586
93,93,Gabriel Magalhães,4,0,0,28,28,28,2363.0,3,1,4,0,2.6,0.9,10,126,11,0.11,0.04,0.1,0.03,,,,,22.7,0.19,0.14,9.5,1480,90.2,25788,96.9,94.2,53.9,13,145,8,0,126,35,1.33,6,0.23,25,15,16,4,42,29,13,16,1873,189,672,985,225,40,5,4,1,1116,2669,10,22,0,9,2,1366,11,19,19,0,9,63,53,37,58.9,75500000.0,84.8,86.5,67178622.6190476
94,94,Gabriel Martinelli,4,0,5,24,30,22,2041.0,7,4,1,0,5.9,4.7,112,47,267,0.31,0.18,0.26,0.21,,,,,42.6,0.88,0.15,13.3,446,71.0,6480,83.5,69.8,49.0,37,11,32,13,47,66,2.91,6,0.26,20,15,23,16,10,0,10,4,889,15,87,229,586,168,106,32,58,597,2355,112,30,59,49,33,678,267,14,20,8,83,72,15,30,33.3,62600000.0,87.7,96.4,81669426.58730158
95,95,Georginio Rutter,16,4,9,23,28,19,1656.0,5,3,2,0,4.6,2.5,42,67,79,0.27,0.16,0.25,0.14,,,,,24.0,0.65,0.1,15.5,237,66.8,3344,77.0,66.7,62.5,19,30,16,1,67,64,3.47,8,0.43,39,15,36,22,20,3,17,10,641,20,83,246,326,79,71,27,34,361,1405,42,36,16,45,37,411,79,34,45,7,9,66,25,46,35.2,41300000.0,72.1,79.0,44339630.81157195
96,96,Guglielmo Vicario,24,17,6,29,23,23,2070.0,0,0,1,0,0.0,0.0,0,1,0,0.0,0.0,0.0,0.0,1.43,64.9,17.4,,30.4,0.0,,16.15,738,87.8,14590,99.1,97.0,50.3,0,1,0,0,1,4,0.17,0,0.0,0,0,0,0,0,0,0,1,893,599,874,19,0,0,1,1,0,635,1631,0,0,0,0,0,574,0,0,2,0,0,33,9,0,100.0,41600000.0,72.3,72.3,30288117.748917755
97,97,Guido Rodríguez,0,18,7,31,20,14,1018.0,0,0,5,0,0.2,0.1,2,31,5,0.0,0.0,0.02,0.01,,,,,12.5,0.09,0.0,27.8,419,84.1,7149,87.4,91.4,62.7,3,36,1,0,31,10,0.88,0,0.0,30,16,30,16,21,9,12,12,617,42,196,366,56,2,3,2,0,284,392,2,5,0,2,6,354,5,15,11,1,4,46,8,7,53.3,13600000.0,71.6,71.6,12892225.468975473
98,98,Harry Maguire,14,13,0,32,24,17,1539.0,1,0,7,0,1.4,0.3,6,43,7,0.06,0.0,0.08,0.01,,,,,41.7,0.29,0.08,7.9,832,85.9,15473,91.7,90.6,57.1,6,43,3,0,43,17,0.99,0,0.0,26,13,18,5,14,12,2,37,1146,137,572,524,65,38,5,2,3,677,1673,6,7,3,7,2,738,7,17,9,1,3,57,52,22,70.3,13700000.0,67.6,68.2,9548097.619047618
99,99,Harry Wilson,44,8,5,28,22,10,1003.0,5,1,2,0,3.7,1.1,17,48,83,0.45,0.09,0.33,0.1,,,,,34.4,0.99,0.16,17.3,297,73.9,4995,85.4,78.5,42.9,19,25,13,1,48,37,3.32,3,0.27,14,9,15,6,13,1,12,5,516,9,67,185,273,48,24,9,10,299,693,17,18,8,14,5,342,83,10,20,1,38,50,4,18,18.2,14500000.0,76.0,76.0,26203807.653371748
100,100,Harry Winks,14,10,7,29,22,17,1538.0,0,2,4,0,0.2,1.2,19,101,11,0.0,0.12,0.01,0.07,,,,,40.0,0.23,0.0,29.2,910,87.1,14101,92.2,91.2,57.9,17,110,7,5,101,39,2.28,3,0.18,24,11,30,17,19,7,12,9,1158,49,275,746,151,1,12,3,8,696,1522,19,13,0,13,8,827,11,9,13,0,34,106,8,6,57.1,11400000.0,68.2,68.4,12654300.000000002
101,101,Harvey Barnes,14,14,3,28,30,14,1503.0,9,4,0,0,6.6,3.9,80,72,172,0.54,0.24,0.39,0.23,,,,,32.7,1.08,0.16,15.0,420,78.8,5863,87.3,73.5,63.2,23,22,36,8,72,57,3.4,9,0.54,16,9,10,7,7,1,6,6,709,15,84,232,398,109,58,22,29,498,2160,80,41,44,26,20,567,172,11,20,5,41,49,5,14,26.3,41500000.0,78.2,78.6,50037414.87872736
102,102,Ian Maatsen,30,1,0,23,26,8,957.0,1,2,2,0,0.8,2.7,27,40,91,0.09,0.19,0.07,0.25,,,,,29.4,0.47,0.06,22.3,530,81.8,8558,88.4,86.5,54.3,18,20,15,3,40,49,4.6,7,0.66,27,15,22,6,11,0,11,15,797,47,216,294,297,41,23,11,12,429,1037,27,15,11,20,21,486,91,9,9,3,48,61,8,6,57.1,40600000.0,76.1,84.5,44555450.06804646
103,103,Ibrahima Konaté,16,11,0,26,28,27,2320.0,1,2,5,0,1.7,1.0,21,103,3,0.04,0.08,0.07,0.04,,,,,16.7,0.12,0.06,10.5,1581,90.3,29259,93.7,95.1,55.7,10,125,8,0,103,30,1.16,7,0.27,36,25,34,10,27,15,12,12,2005,211,854,1047,110,22,4,2,1,1184,3160,21,13,0,8,2,1454,3,26,18,0,0,86,72,28,72.0,57200000.0,81.4,85.4,53478847.70845097
104,104,Iliman Ndiaye,37,7,3,25,30,27,2252.0,7,0,3,0,5.2,1.6,81,50,115,0.28,0.0,0.21,0.06,,,,,40.6,0.52,0.16,17.4,543,80.8,8134,86.1,86.1,68.0,17,35,14,5,50,59,2.36,5,0.2,48,25,45,26,27,5,22,17,1000,34,202,411,435,77,137,63,64,575,2221,81,41,30,49,43,612,115,24,47,5,38,163,6,19,24.0,25700000.0,68.5,72.9,25438577.74725274
105,105,Illia Zabarnyi,41,2,0,23,33,32,2842.0,0,0,3,1,1.1,0.6,25,128,4,0.0,0.0,0.03,0.02,,,,,0.0,0.0,0.0,9.8,1262,81.6,26615,90.5,90.8,52.8,11,134,6,0,128,28,0.89,0,0.0,46,32,44,14,33,20,13,38,1869,218,860,961,69,13,8,5,2,1158,4451,25,20,0,14,3,1168,4,18,6,0,5,143,72,40,64.3,58800000.0,75.3,88.1,57376662.16077829
106,106,Issa Diop,16,8,0,28,21,15,1339.0,0,0,2,0,0.5,0.1,6,25,3,0.0,0.0,0.04,0.01,,,,,40.0,0.13,0.0,10.7,663,87.5,12350,92.5,92.9,52.9,3,43,1,0,25,6,0.4,0,0.0,26,12,18,5,10,7,3,9,903,125,498,381,26,13,2,1,1,533,1216,6,2,0,9,2,617,3,10,4,0,1,45,20,12,62.5,17900000.0,70.8,71.5,18123610.206460215
107,107,Jack Clarke,14,9,5,25,29,11,1056.0,0,4,2,0,1.0,2.0,32,35,47,0.0,0.34,0.08,0.17,,,,,14.3,0.17,0.0,19.4,266,76.4,4343,86.8,86.0,48.3,23,25,6,0,35,40,3.41,5,0.43,28,17,32,16,6,0,6,7,486,22,115,198,187,32,42,22,14,272,1015,32,18,9,20,18,293,47,15,21,3,13,67,7,14,33.3,19400000.0,62.8,67.8,15625974.206349209
